dancer_id,dance_id,dance_key,waggle_run,stimulus,notes,waggle_directions,start_x,start_y,start_xy,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,source_batch
22b,22b_00028,2025-01-19__22b_00028,16,vertical,,"(-0.4166547104932136, 0.9090648228942843)",877,618,"(877, 618)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.416654710493214,0.909064822894284,204.623564786164,856,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,17,vertical,,"(-0.7904150521752438, 0.612571665435814)",853,601,"(853, 601)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.790415052175244,0.612571665435814,232.224315694045,897,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,18,vertical,,"(-0.1414213562373095, 0.9899494936611665)",836,579,"(836, 579)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.14142135623731,0.989949493661167,188.130102354156,950,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,19,vertical,,"(-0.8755776840267941, 0.4830773429113347)",784,570,"(784, 570)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.875577684026794,0.483077342911335,241.113418233089,991,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,20,vertical,,"(-0.24253562503633297, 0.9701425001453319)",821,568,"(821, 568)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.242535625036333,0.970142500145332,194.036243467926,1029,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,21,vertical,,"(-0.4989644448669457, 0.8666224568741688)",812,503,"(812, 503)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.498964444866946,0.866622456874169,209.931511840508,1125,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,22,vertical,,"(-0.6561787149247866, 0.7546055221635046)",764,493,"(764, 493)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.656178714924787,0.754605522163505,15145056.57.00,1168,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,23,vertical,,"(-0.548026257310873, 0.8364611295797535)",776,492,"(776, 492)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.548026257310873,0.836461129579754,213.231711067979,1230,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,24,vertical,,"(-0.8395701571521512, 0.5432512781572743)",758,444,"(758, 444)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.839570157152151,0.543251278157274,237.094757077012,1275,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,25,vertical,,"(-0.23822152779764846, 0.9712108440981052)",813,436,"(813, 436)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.238221527797648,0.971210844098105,193.781597235654,1319,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,26,vertical,,"(-0.10748184298009181, 0.9942070475658493)",390,558,"(390, 558)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.107481842980092,0.994207047565849,186.17017509503,1489,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,27,vertical,,"(-0.8886206570548637, 0.45864291977025223)",383,598,"(383, 598)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.888620657054864,0.458642919770252,242.700427788667,1542,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,28,vertical,,"(-0.31622776601683794, 0.9486832980505138)",375,607,"(375, 607)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.316227766016838,0.948683298050514,198.434948822922,1580,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,29,vertical,,"(-0.7474093186836597, 0.6643638388299198)",344,626,"(344, 626)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.74740931868366,0.66436383882992,228.36646066343,1619,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,30,vertical,,"(-0.5449883505954141, 0.838443616300637)",339,629,"(339, 629)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.544988350595414,0.838443616300637,213.023867555797,1665,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,31,vertical,,"(-0.5057194997124201, 0.862697970097658)",328,655,"(328, 655)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.50571949971242,0.862697970097658,210.379126011368,1709,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,32,vertical,,"(-0.4819187497721559, 0.8762159086766471)",333,673,"(333, 673)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.481918749772156,0.876215908676647,208.810793742973,1748,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
