recording_type,source_batch,dance_key,dance_id,bee_id,date,time_dance,waggle_run,condition,orientation_method,csv_file,video_name,direction_u,direction_v,video_angle_deg,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,start_x,start_y,start_xy,start_frame,notes,calibration_R,declination_deg
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,14,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.788800290178513,0.614649576762478,232.073537674961,,,,,,,,,,,,,,,,,,,747,556,"(747.0, 556.0)",733,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,1,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.08304547985374,0.99654575824488,184.763641690726,,,,,,,,,,,,,,,,,,,855,652,"(855.0, 652.0)",34,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,2,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.263117405792109,0.964763821237732,195.255118703058,,,,,,,,,,,,,,,,,,,847,660,"(847.0, 660.0)",85,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,3,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.295683728071131,0.955285890691346,197.198541220066,,,,,,,,,,,,,,,,,,,869,670,"(869.0, 670.0)",125,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,4,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.542525431475665,0.840039377768771,212.855721950433,,,,,,,,,,,,,,,,,,,837,648,"(837.0, 648.0)",172,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,5,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.298274993135947,0.95447997803503,197.354024636261,,,,,,,,,,,,,,,,,,,831,690,"(831.0, 690.0)",217,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,6,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.695611358841102,0.718418288639171,224.075954647227,,,,,,,,,,,,,,,,,,,894,635,"(894.0, 635.0)",272,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,7,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.662910367319787,0.748698767796465,221.522213480202,,,,,,,,,,,,,,,,,,,843,711,"(843.0, 711.0)",453,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,8,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.74740931868366,0.66436383882992,228.36646066343,,,,,,,,,,,,,,,,,,,973,727,"(973.0, 727.0)",645,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,9,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.507985019944294,0.861365903383803,210.529705899934,,,,,,,,,,,,,,,,,,,899,684,"(899.0, 684.0)",705,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,10,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.627752451189782,0.778413039475329,218.884496433715,,,,,,,,,,,,,,,,,,,848,625,"(848.0, 625.0)",808,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,11,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.416654710493214,0.909064822894284,204.623564786164,,,,,,,,,,,,,,,,,,,877,618,"(877.0, 618.0)",856,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,12,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.790415052175244,0.612571665435814,232.224315694045,,,,,,,,,,,,,,,,,,,853,601,"(853.0, 601.0)",897,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,13,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.14142135623731,0.989949493661167,188.130102354156,,,,,,,,,,,,,,,,,,,836,579,"(836.0, 579.0)",950,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,14,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.875577684026794,0.483077342911335,241.113418233089,,,,,,,,,,,,,,,,,,,784,570,"(784.0, 570.0)",991,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,15,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.242535625036333,0.970142500145332,194.036243467926,,,,,,,,,,,,,,,,,,,821,568,"(821.0, 568.0)",1029,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,16,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.498964444866946,0.866622456874169,209.931511840508,,,,,,,,,,,,,,,,,,,812,503,"(812.0, 503.0)",1125,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,17,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.656178714924787,0.754605522163505,221.00908690157,,,,,,,,,,,,,,,,,,,764,493,"(764.0, 493.0)",1168,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,18,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.548026257310873,0.836461129579754,213.231711067979,,,,,,,,,,,,,,,,,,,776,492,"(776.0, 492.0)",1230,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,19,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.839570157152151,0.543251278157274,237.094757077012,,,,,,,,,,,,,,,,,,,758,444,"(758.0, 444.0)",1275,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,20,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.238221527797648,0.971210844098105,193.781597235654,,,,,,,,,,,,,,,,,,,813,436,"(813.0, 436.0)",1319,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,21,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.107481842980092,0.994207047565849,186.17017509503,,,,,,,,,,,,,,,,,,,390,558,"(390.0, 558.0)",1489,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,22,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.888620657054864,0.458642919770252,242.700427788667,,,,,,,,,,,,,,,,,,,383,598,"(383.0, 598.0)",1542,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,23,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.316227766016838,0.948683298050514,198.434948822922,,,,,,,,,,,,,,,,,,,375,607,"(375.0, 607.0)",1580,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,24,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.74740931868366,0.66436383882992,228.36646066343,,,,,,,,,,,,,,,,,,,344,626,"(344.0, 626.0)",1619,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,25,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.544988350595414,0.838443616300637,213.023867555797,,,,,,,,,,,,,,,,,,,339,629,"(339.0, 629.0)",1665,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,26,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.50571949971242,0.862697970097658,210.379126011368,,,,,,,,,,,,,,,,,,,328,655,"(328.0, 655.0)",1709,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,27,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.481918749772156,0.876215908676647,208.810793742973,,,,,,,,,,,,,,,,,,,333,673,"(333.0, 673.0)",1748,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,28,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.631672951162236,0.775234985517289,219.173657970444,,,,,,,,,,,,,,,,,,,339,644,"(339.0, 644.0)",1799,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,29,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.265928998125813,0.963992618206074,195.422161318739,,,,,,,,,,,,,,,,,,,391,675,"(391.0, 675.0)",1842,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,30,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.429056814568288,0.90327750435429,205.407718108948,,,,,,,,,,,,,,,,,,,358,664,"(358.0, 664.0)",1884,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,31,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.565528355551528,0.824728851845978,214.438989308804,,,,,,,,,,,,,,,,,,,358,678,"(358.0, 678.0)",1934,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,32,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.566528822887065,0.824041924199368,214.508522987668,,,,,,,,,,,,,,,,,,,339,678,"(339.0, 678.0)",1988,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,33,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.224859506698758,0.97439119569462,192.994616791917,,,,,,,,,,,,,,,,,,,369,656,"(369.0, 656.0)",2030,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00028,22b_00028,22b,20250119,16:57:00,34,vertical,raw_vertical_uncalibrated,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,-0.435560928104281,0.900159251415514,205.820991974189,,,,,,,,,,,,,,,,,,,189,635,"(189.0, 635.0)",2106,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00030,22b_00030,22b,20250119,17:03:00,1,vertical,raw_vertical_uncalibrated,22b_00030_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,-0.565842496912414,0.824513352643803,214.460816271372,,,,,,,,,,,,,,,,,,,317,618,"(317.0, 618.0)",1171,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00030,22b_00030,22b,20250119,17:03:00,2,vertical,raw_vertical_uncalibrated,22b_00030_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,0.607450107570797,0.794357832977196,142.594643368591,,,,,,,,,,,,,,,,,,,343,634,"(343.0, 634.0)",1214,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__22b__22b_00030,22b_00030,22b,20250119,17:03:00,3,vertical,raw_vertical_uncalibrated,22b_00030_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,-0.829722110200009,0.55817669231637,236.070202577939,,,,,,,,,,,,,,,,,,,370,658,"(370.0, 658.0)",1260,skew_not_corrected,,-21.27
