recording_type,source_file_type,source_batch,dance_key,dance_id,bee_id,date,time_dance,condition,aperture,orientation_method,waggle_run,csv_file,video_name,direction_u,direction_v,video_angle_deg,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,start_x,start_y,start_xy,start_frame,declination_deg
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00053,20y_00053,20y,20250127,17:58:00,10_deg,,direct_compass,2,20y_00053_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00053.mp4,-0.9746126946621946,0.22389751093590957,257.06194368281353,258.97559180039985,358.0863518824137,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1320,953,"(1320, 953)",219,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00053,20y_00053,20y,20250127,17:58:00,10_deg,,direct_compass,3,20y_00053_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00053.mp4,-0.9429903335828895,0.3328201177351375,250.55996517182382,258.97559180039985,351.58437337142396,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1325,983,"(1325, 983)",314,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,1,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.8203981667699868,0.5717926616881727,235.1246716553978,258.97559180039985,336.1490798549979,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1060,988,"(1060, 988)",50,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,2,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.8436614877321076,0.5368754921931593,237.52880770915152,258.97559180039985,338.55321590875167,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1045,986,"(1045, 986)",104,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,3,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.14834045293024462,0.9889363528682975,188.53076560994813,258.97559180039985,289.55517380954825,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1073,993,"(1073, 993)",166,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,4,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.862697970097658,0.5057194997124201,239.62087398863167,258.97559180039985,340.6452821882318,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1075,972,"(1075, 972)",214,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,5,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.584304725845076,0.8115343414514944,215.75388725443673,258.97559180039985,316.7782954540369,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1085,980,"(1085, 980)",263,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,6,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.7546055221635046,0.6561787149247866,228.9909130984298,258.97559180039985,330.0153212980299,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1108,995,"(1108, 995)",318,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,7,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.9255469562056767,0.3786328457205041,247.75097634278762,258.97559180039985,348.77538454238777,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1098,961,"(1098, 961)",378,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,8,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.7844155915708846,0.6202355840327924,231.66665989090137,258.97559180039985,332.6910680905015,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1110,985,"(1110, 985)",429,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,9,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.7808688094430304,0.6246950475544243,231.3401917459099,258.97559180039985,332.36459994551,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1100,988,"(1100, 988)",472,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,10,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.973616310567801,0.22819132278932835,256.8093892877931,258.97559180039985,357.83379748739327,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1113,989,"(1113, 989)",575,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,11,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.24253562503633297,0.9701425001453319,194.03624346792648,258.97559180039985,295.0606516675266,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1053,988,"(1053, 988)",630,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,12,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.987762965329069,0.1559625734730109,261.0273733851036,258.97559180039985,2.051781584703747,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1102,968,"(1102, 968)",776,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,13,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.2922185355990202,0.956351571051339,196.99082329198615,258.97559180039985,298.0152314915863,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1078,989,"(1078, 989)",825,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,14,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.8507979973592923,0.5254928807219158,238.29857033049427,258.97559180039985,339.3229785300944,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1126,987,"(1126, 987)",880,-21.27
