dancer_id,source_batch,dance_key,dance_id,waggle_run,stimulus,waggle_directions,start_x,start_y,start_xy,notes,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,calibration_file,calibration_id,calibration_video_name,calibration_n_annotations,calibration_mean_north_deg,calibration_circular_sd_deg,calibration_R,declination_deg,true_north_video_deg,calibration_notes,waggle_true_bearing_deg
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,3,,"(-0.9922778767136677, -0.12403473458920847)",1357,914,"(1357, 914)",,66b_00024_waggle_annotations.csv,,,-0.9922778767136676,-0.1240347345892084,277.1250163489018,1300,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,26.39601634890178
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,4,,"(-0.999133073092352, -0.04163054471218133)",1341,883,"(1341, 883)",,66b_00024_waggle_annotations.csv,,,-0.999133073092352,-0.0416305447121813,272.3859440303888,1332,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,21.656944030388814
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,5,,"(-0.9899494936611665, 0.1414213562373095)",1379,894,"(1379, 894)",,66b_00024_waggle_annotations.csv,,,-0.9899494936611664,0.1414213562373095,261.86989764584405,1377,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,11.140897645844035
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,6,,"(-0.9938837346736188, 0.11043152607484653)",1379,866,"(1379, 866)",,66b_00024_waggle_annotations.csv,,,-0.9938837346736188,0.1104315260748465,263.6598082540901,1415,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,12.930808254090067
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,7,,"(-0.9982743731749958, 0.058722021951470346)",1357,832,"(1357, 832)",,66b_00024_waggle_annotations.csv,,,-0.9982743731749958,0.0587220219514703,266.6335393365702,1474,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,15.904539336570195
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,8,,"(-1.0, 0.0)",1401,867,"(1401, 867)",,66b_00024_waggle_annotations.csv,,,-1.0,0.0,270.0,1522,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,19.270999999999987
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,9,,"(-0.9938837346736189, 0.11043152607484655)",1396,886,"(1396, 886)",,66b_00024_waggle_annotations.csv,,,-0.9938837346736188,0.1104315260748465,263.6598082540901,1576,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,12.930808254090067
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,10,,"(-0.999133073092352, -0.04163054471218133)",1349,886,"(1349, 886)",,66b_00024_waggle_annotations.csv,,,-0.999133073092352,-0.0416305447121813,272.3859440303888,1618,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,21.656944030388814
66b,2025-01-26,2025-01-26__66b_00024,66b_00024,11,,"(-0.9615239476408232, 0.27472112789737807)",1425,897,"(1425, 897)",,66b_00024_waggle_annotations.csv,,,-0.9615239476408232,0.274721127897378,254.05460409907715,1668,E:\2026Trackathon\James\mp4\20250126\00024.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,3.3256040990771396
66b,2025-01-26,2025-01-26__66b_00025,66b_00025,1,,"(-0.9883716976506172, -0.1520571842539411)",931,793,"(931, 793)",,66b_00025_waggle_annotations.csv,,,-0.9883716976506172,-0.1520571842539411,278.74616226255523,30,E:\2026Trackathon\James\mp4\20250126\00025.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,28.017162262555217
