recording_type,source_file_type,source_batch,dance_key,dance_id,bee_id,date,time,condition,aperture,orientation_method,waggle_run,csv_file,video_name,direction_u,direction_v,video_angle_deg,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,start_x,start_y,start_xy,start_frame,annotation_session,notes,orientation_notes,calibration_video_name,calibration_R,declination_deg,calibration_notes,orientation_block,21_calibration_11-21-50_waggle_annotations.csv
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00054,22b_00054,22b,20250119,,horizontal,,direct_compass,11,22b_00054_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00054.mp4,-0.9998918860475786,-0.014704292441876156,270.84252426074045,213.04443517166823,57.79808908907222,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,1220,711,"(1220, 711)",1979,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00054,22b_00054,22b,20250119,,horizontal,,direct_compass,12,22b_00054_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00054.mp4,-0.9960726406926864,-0.08853979028379436,275.07960786001456,213.04443517166823,62.035172688346336,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,1214,740,"(1214, 740)",2023,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00054,22b_00054,22b,20250119,,horizontal,,direct_compass,13,22b_00054_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00054.mp4,-0.9990561583550596,-0.04343722427630694,272.4895529219991,213.04443517166823,59.445117750330894,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,1178,781,"(1178, 781)",2065,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00054,22b_00054,22b,20250119,,horizontal,,direct_compass,14,22b_00054_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00054.mp4,-0.9986876634765887,-0.05121475197315839,272.93567344642116,213.04443517166823,59.891238274752936,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,1082,802,"(1082, 802)",2157,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00054,22b_00054,22b,20250119,,horizontal,,direct_compass,15,22b_00054_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00054.mp4,-0.998646416445549,-0.05201283418987235,272.9814612199822,213.04443517166823,59.93702604831395,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,1071,809,"(1071, 809)",2241,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00054,22b_00054,22b,20250119,,horizontal,,direct_compass,16,22b_00054_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00054.mp4,-0.997458699830735,-0.07124704998790965,274.0856167799749,213.04443517166823,61.04118160830666,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,1054,816,"(1054, 816)",2325,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,1,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.8155071447352175,0.578747005941122,234.63753811293094,213.04443517166823,21.593102941262714,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,999,797,"(999, 797)",34,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,2,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9924484830682104,0.12266217206461028,262.9542308751325,213.04443517166823,49.90979570346428,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,1015,790,"(1015, 790)",83,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,3,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-1.0,0.0,270.0,213.04443517166823,56.955564828331774,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,948,765,"(948, 765)",114,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,4,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9997918184634463,-0.020403914662519312,271.16913932790743,213.04443517166823,58.124704156239204,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,912,719,"(912, 719)",161,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
