recording_type,source_file_type,source_batch,dancer_id,bee_id,dance_id,dance_key,waggle_run,stimulus,condition,notes,date,time_dance,csv_file,video_name,waggle_directions,direction_u,direction_v,video_angle_deg,start_x,start_y,start_xy,start_frame,annotation_session,orientation_method,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,sun_azimuth_deg,sun_elevation_deg,vertical_angle_corrected_deg,comb_skew_correction_status
vertical,annotator_csv,vertical_20250119,16b,16b,16b_00033,vertical_20250119__16b__16b_00033,12,,vertical,,20250119,17:20:00,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,"(-0.6541519329315841, 0.7563631724521442)",-0.654151932931584,0.756363172452144,220.855376258896,629,596,"(629.0, 596.0)",624,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,16b,16b,16b_00033,vertical_20250119__16b__16b_00033,13,,vertical,,20250119,17:20:00,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,"(-0.27300368557463306, 0.9620129872629928)",-0.273003685574633,0.962012987262993,195.843082117687,693,562,"(693.0, 562.0)",676,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,16b,16b,16b_00033,vertical_20250119__16b__16b_00033,14,,vertical,,20250119,17:20:00,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,"(-0.7888002901785134, 0.6146495767624779)",-0.788800290178513,0.614649576762478,232.073537674961,747,556,"(747.0, 556.0)",733,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,1,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.08304547985373997, 0.9965457582448797)",-0.08304547985374,0.99654575824488,184.763641690726,855,652,"(855.0, 652.0)",34,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,2,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.2631174057921088, 0.9647638212377322)",-0.263117405792109,0.964763821237732,195.255118703058,847,660,"(847.0, 660.0)",85,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,3,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.2956837280711308, 0.9552858906913457)",-0.295683728071131,0.955285890691346,197.198541220066,869,670,"(869.0, 670.0)",125,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,4,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.5425254314756646, 0.8400393777687709)",-0.542525431475665,0.840039377768771,212.855721950433,837,648,"(837.0, 648.0)",172,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,5,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.2982749931359468, 0.9544799780350297)",-0.298274993135947,0.95447997803503,197.354024636261,831,690,"(831.0, 690.0)",217,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,6,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.6956113588411023, 0.7184182886391711)",-0.695611358841102,0.718418288639171,224.075954647227,894,635,"(894.0, 635.0)",272,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,7,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.6629103673197869, 0.7486987677964652)",-0.662910367319787,0.748698767796465,221.522213480202,843,711,"(843.0, 711.0)",453,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
